language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave,corpus
2,ELN_003,0.944104091621207,-0.963465829913272,0.0274984053040757,0.0147555144963939,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_004,0.943132587464905,-0.960438712631892,0.0266069037809249,0.0139427215327506,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_005,0.939852747837396,-0.966091421250886,0.0245869658993881,0.0173527522877959,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_006,0.941203195194606,-0.967035555939663,0.0228611067038526,0.0166409401266112,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_007,0.94413422859238,-0.964621557220642,0.0259233628327603,0.0186382699648528,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_008,0.943749423032209,-0.962634148259305,0.0268616368753509,0.0161685536226343,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_009,0.943292044104377,-0.962182316944588,0.0241982999937958,0.0145242559657176,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_010,0.939032226408509,-0.964778976369452,0.0243032759114585,0.0169730352150858,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_011,0.942609048196819,-0.965448625077684,0.0249387847234189,0.0168523218032955,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_012,0.942969563947485,-0.961628724004096,0.0253605378382426,0.0127448007342033,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_013,0.940512195946974,-0.961646422504058,0.0213916457128036,0.0129913837726271,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_014,0.941294174725927,-0.964653252175331,0.0239384694494092,0.0150604920356071,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ELN_015,0.945184249683853,-0.962974922236808,0.0280877347380852,0.0171816540377148,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,FIF_001,0.942215610782976,-0.964560249264822,0.0223273920464469,0.0146824051472207,FIF,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
5,GLA_001,0.940999320896951,-0.966777686377795,0.0230067931470098,0.015548877002386,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,GLA_002,0.943684202370462,-0.963979397490254,0.0228916326609683,0.0149891345274725,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,GLA_003,0.944795835614551,-0.965124774728076,0.0268173188016045,0.0166970973042472,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,GLA_004,0.943284873758021,-0.963351960497325,0.0245031205358438,0.0147748590208789,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,GLA_005,0.941238393838076,-0.966917431288082,0.0229592592987728,0.0160651549003663,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,GLA_006,0.938985914518301,-0.963149364912895,0.0206508696923524,0.0145140013831439,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,GLA_007,0.940010256870826,-0.961583753901682,0.0239483330877545,0.0140696867999773,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
82,HEB_001,0.944981910539102,-0.964186024941344,0.0277243050549542,0.0150238883955416,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_002,0.945523908306542,-0.96551541806226,0.024972053289093,0.0160543486207748,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_003,0.944399874988402,-0.963084346057528,0.0252429572766854,0.0129369719781969,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_004,0.945418015736782,-0.9631079113999,0.0263371242988231,0.0144845226350781,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_005,0.940843723246419,-0.961642877351604,0.0245198213103552,0.0119228575648986,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
